Time(s),Force(kN),Strain 1(%)
102.7,1.1503,0.7864
102.8,1.1504,0.7897
102.9,1.1495,0.7925
103,1.1495,0.7959
103.1,1.1505,0.7994
103.2,1.1514,0.8032
103.3,1.1508,0.8071
103.4,1.1512,0.8109
103.5,1.1519,0.8154
103.6,1.1524,0.8187
103.7,1.1517,0.8224
103.8,1.1515,0.8257
103.9,1.151,0.8288
104,1.151,0.8323
104.1,1.1521,0.8363
104.2,1.1524,0.8406
104.3,1.1521,0.8436
104.4,1.1519,0.8472
104.5,1.1516,0.8504
104.6,1.1518,0.8534
104.7,1.1521,0.8568
104.8,1.1527,0.8604
104.9,1.1526,0.864
105,1.1534,0.8671
105.1,1.1528,0.8707
105.2,1.1534,0.8745
105.3,1.1533,0.8785
105.4,1.1531,0.8817
105.5,1.1537,0.886
105.6,1.1535,0.8891
105.7,1.1531,0.893
105.8,1.1536,0.8974
105.9,1.1532,0.9006
106,1.1531,0.9034
106.1,1.1531,0.9065
106.2,1.1537,0.9102
106.3,1.1539,0.9136
106.4,1.1541,0.9175
106.5,1.1544,0.9221
106.6,1.1546,0.9259
106.7,1.1547,0.9299
106.8,1.1544,0.9338
106.9,1.155,0.9376
107,1.1548,0.9411
107.1,1.1539,0.9438
107.2,1.1545,0.9472
107.3,1.1552,0.9516
107.4,1.155,0.9554
107.5,1.1556,0.9589
107.6,1.1546,0.962
107.7,1.1549,0.9659
107.8,1.1549,0.9698
107.9,1.1558,0.9738
108,1.1557,0.9778
108.1,1.1562,0.9821
108.2,1.1558,0.9857
108.3,1.1558,0.9893
108.4,1.1552,0.9931
108.5,1.1562,0.9973
108.6,1.1555,1.0009
108.7,1.1558,1.0047
108.8,1.1553,1.0088
108.9,1.1562,1.0119
109,1.1567,1.0161
109.1,1.1564,1.0194
109.2,1.1564,1.0232
109.3,1.1564,1.0276
109.4,1.1571,1.0319
109.5,1.1565,1.0344
109.6,1.1572,1.0385
109.7,1.1571,1.0429
109.8,1.1564,1.046
109.9,1.1566,1.0498
110,1.1568,1.0536
110.1,1.1568,1.057
110.2,1.1571,1.0605
110.3,1.1574,1.0653
110.4,1.1569,1.0685
110.5,1.1571,1.0726
110.6,1.1569,1.076
110.7,1.1569,1.0804
110.8,1.1579,1.0841
110.9,1.1573,1.0877
111,1.1581,1.0922
111.1,1.1586,1.0969
111.2,1.1582,1.1014
111.3,1.1578,1.1059
111.4,1.1579,1.1102
111.5,1.1575,1.1142
111.6,1.1577,1.1182
111.7,1.1581,1.122
111.8,1.1577,1.1261
111.9,1.1576,1.1303
112,1.1571,1.1333
112.1,1.1575,1.1371
112.2,1.1579,1.1406
112.3,1.1581,1.1451
112.4,1.1582,1.1486
112.5,1.1586,1.1517
112.6,1.1584,1.1561
112.7,1.1592,1.1605
112.8,1.1591,1.1651
112.9,1.1592,1.1697
113,1.1591,1.1735
113.1,1.1591,1.177
113.2,1.1587,1.1811
113.3,1.1595,1.1857
113.4,1.1592,1.1902
113.5,1.159,1.1943
113.6,1.1594,1.1978
113.7,1.1586,1.2025
113.8,1.1589,1.206
113.9,1.1591,1.21
114,1.16,1.2137
114.1,1.16,1.2178
114.2,1.1609,1.2233
114.3,1.1601,1.2274
114.4,1.16,1.2318
114.5,1.1595,1.2352
114.6,1.16,1.2399
114.7,1.1595,1.2432
114.8,1.1602,1.2472
114.9,1.1608,1.2509
115,1.1598,1.2555
115.1,1.1601,1.2596
115.2,1.1598,1.2639
115.3,1.1601,1.2673
115.4,1.1604,1.2718
115.5,1.1602,1.2752
115.6,1.1598,1.2792
115.7,1.1603,1.2844
115.8,1.1603,1.2881
115.9,1.1615,1.2931
116,1.1608,1.2974
116.1,1.161,1.3014
116.2,1.1609,1.3056
116.3,1.1607,1.3099
116.4,1.1607,1.3138
116.5,1.1607,1.3186
116.6,1.1606,1.3221
116.7,1.1608,1.3263
116.8,1.1615,1.3303
116.9,1.1618,1.3347
117,1.1614,1.3391
117.1,1.161,1.3428
117.2,1.1617,1.3482
117.3,1.1618,1.3526
117.4,1.1611,1.3566
117.5,1.1619,1.3615
117.6,1.1613,1.365
117.7,1.1603,1.3686
117.8,1.1609,1.3726
117.9,1.1614,1.3768
118,1.1611,1.3803
118.1,1.1618,1.385
118.2,1.1615,1.3888
118.3,1.1618,1.3924
118.4,1.1618,1.3957
118.5,1.1618,1.3998
118.6,1.1627,1.4038
118.7,1.1625,1.4082
118.8,1.1625,1.4122
118.9,1.1627,1.4161
119,1.163,1.4209
119.1,1.1624,1.4254
119.2,1.1634,1.4297
119.3,1.1634,1.4348
119.4,1.1633,1.439
119.5,1.1628,1.443
119.6,1.1625,1.447
119.7,1.1624,1.4514
119.8,1.1617,1.4543
119.9,1.1629,1.459
120,1.1638,1.4624
120.1,1.1628,1.467
120.2,1.1631,1.4711
120.3,1.1638,1.4755
120.4,1.1634,1.4798
120.5,1.1634,1.484
120.6,1.1644,1.4885
120.7,1.1642,1.493
120.8,1.1644,1.4979
120.9,1.1632,1.5016
121,1.1632,1.506
121.1,1.1629,1.5102
121.2,1.164,1.5145
121.3,1.1634,1.5183
121.4,1.1639,1.5229
121.5,1.1633,1.527
121.6,1.1636,1.5311
121.7,1.1637,1.535
121.8,1.1637,1.5388
121.9,1.1641,1.543
122,1.1647,1.5479
122.1,1.1643,1.5521
122.2,1.165,1.5565
122.3,1.164,1.5606
122.4,1.1641,1.5647
122.5,1.1649,1.5684
122.6,1.1647,1.5736
122.7,1.1645,1.5773
122.8,1.1639,1.5816
122.9,1.1649,1.5856
123,1.1652,1.5898
123.1,1.1649,1.5944
123.2,1.1645,1.5978
123.3,1.1646,1.602
123.4,1.1653,1.6066
123.5,1.1647,1.6108
123.6,1.1652,1.6155
123.7,1.1654,1.6196
123.8,1.1652,1.6235
123.9,1.1655,1.6283
124,1.1662,1.633
124.1,1.1648,1.6371
124.2,1.1659,1.6417
124.3,1.1653,1.646
124.4,1.166,1.6501
124.5,1.1662,1.6548
124.6,1.1655,1.66
124.7,1.1652,1.6641
124.8,1.1661,1.6691
124.9,1.1658,1.6726
125,1.1658,1.677
125.1,1.1665,1.6816
125.2,1.1659,1.6853
125.3,1.1669,1.6904
125.4,1.1657,1.694
125.5,1.1657,1.6984
125.6,1.1652,1.7024
125.7,1.166,1.7057
125.8,1.166,1.711
125.9,1.1659,1.7138
126,1.1656,1.7177
126.1,1.1673,1.7228
126.2,1.1668,1.727
126.3,1.1664,1.7307
126.4,1.1671,1.7356
126.5,1.168,1.7415
126.6,1.1677,1.7463
126.7,1.1674,1.7508
126.8,1.1674,1.7554
126.9,1.1677,1.7604
127,1.1664,1.764
127.1,1.1669,1.769
127.2,1.1663,1.7724
127.3,1.1673,1.776
127.4,1.1669,1.7809
127.5,1.1664,1.7847
127.6,1.1662,1.7887
127.7,1.1672,1.7927
127.8,1.1675,1.7974
127.9,1.1678,1.8021
128,1.1673,1.806
128.1,1.1683,1.8105
128.2,1.1687,1.8152
128.3,1.1688,1.8204
128.4,1.1685,1.8252
128.5,1.1683,1.8308
128.6,1.168,1.8357
128.7,1.1676,1.8401
128.8,1.1678,1.8445
128.9,1.1676,1.8495
129,1.1676,1.8523
129.1,1.1679,1.858
129.2,1.1679,1.862
129.3,1.1676,1.8665
129.4,1.169,1.8711
129.5,1.1679,1.8756
129.6,1.168,1.8795
129.7,1.1684,1.8836
129.8,1.1685,1.8893
129.9,1.1684,1.8933
130,1.1686,1.8972
130.1,1.169,1.9017
130.2,1.1687,1.9061
130.3,1.1689,1.9107
130.4,1.1683,1.9149
130.5,1.1688,1.9192
130.6,1.169,1.9231
130.7,1.1688,1.9276
130.8,1.1682,1.9316
130.9,1.169,1.9364
131,1.1687,1.9402
131.1,1.1678,1.9441
131.2,1.17,1.9491
131.3,1.1704,1.9546
131.4,1.1698,1.9585
131.5,1.169,1.9634
131.6,1.1698,1.9679
131.7,1.1699,1.9721
131.8,1.1688,1.9767
131.9,1.1695,1.9817
132,1.1695,1.9849
132.1,1.1699,1.9901
132.2,1.1707,1.9947
132.3,1.1689,1.9991
132.4,1.1702,2.0039
132.5,1.1701,2.009
132.6,1.1698,2.013
132.7,1.1703,2.0171
132.8,1.1702,2.0224
132.9,1.1694,2.0269
133,1.1705,2.0312
133.1,1.1697,2.0355
133.2,1.1703,2.0397
133.3,1.1701,2.0439
133.4,1.1694,2.0476
133.5,1.1696,2.0521
133.6,1.1694,2.0562
133.7,1.1694,2.0605
133.8,1.1705,2.065
133.9,1.1707,2.0689
134,1.1706,2.0729
134.1,1.1704,2.0764
134.2,1.1718,2.0821
134.3,1.1708,2.0868
134.4,1.1714,2.0909
134.5,1.1713,2.0953
134.6,1.171,2.0993
134.7,1.171,2.1043
134.8,1.1715,2.1085
134.9,1.1706,2.1137
135,1.1714,2.1182
135.1,1.1707,2.1219
135.2,1.1705,2.1268
135.3,1.1702,2.131
135.4,1.1714,2.1353
135.5,1.171,2.1395
135.6,1.1716,2.1439
135.7,1.1709,2.1482
135.8,1.1721,2.1532
135.9,1.173,2.1578
136,1.1723,2.1627
136.1,1.1714,2.1678
136.2,1.1721,2.1727
136.3,1.172,2.1768
136.4,1.1714,2.18
136.5,1.1722,2.1855
136.6,1.1716,2.1893
136.7,1.172,2.194
136.8,1.1718,2.1978
136.9,1.1714,2.2024
137,1.1726,2.2065
137.1,1.1717,2.211
137.2,1.1721,2.216
137.3,1.1718,2.2203
137.4,1.1727,2.2252
137.5,1.1736,2.2298
137.6,1.1733,2.2346
137.7,1.1729,2.24
137.8,1.1726,2.2444
137.9,1.1724,2.2488
138,1.1729,2.2538
138.1,1.1724,2.2578
138.2,1.1718,2.2621
138.3,1.1716,2.2653
138.4,1.1729,2.2706
138.5,1.1723,2.2742
138.6,1.1728,2.2788
138.7,1.1724,2.2821
138.8,1.1726,2.2865
138.9,1.1738,2.2918
139,1.173,2.2957
139.1,1.1735,2.301
139.2,1.1739,2.3061
139.3,1.1732,2.3106
139.4,1.1731,2.3148
139.5,1.1737,2.3195
139.6,1.1732,2.3234
139.7,1.1735,2.3285
139.8,1.1737,2.333
139.9,1.1738,2.3378
140,1.1733,2.3424
140.1,1.1736,2.3475
140.2,1.1728,2.3507
140.3,1.1731,2.3555
140.4,1.1734,2.3593
140.5,1.174,2.3638
140.6,1.1742,2.3688
140.7,1.1742,2.3732
140.8,1.1741,2.3782
140.9,1.1732,2.382
141,1.1738,2.3861
141.1,1.1734,2.3908
141.2,1.174,2.3958
141.3,1.1741,2.3998
141.4,1.1739,2.404
141.5,1.1736,2.4077
141.6,1.1751,2.4142
141.7,1.1751,2.4183
141.8,1.175,2.4236
141.9,1.1749,2.4275
142,1.1747,2.4327
142.1,1.1754,2.4374
142.2,1.1748,2.4418
142.3,1.1747,2.4464
142.4,1.1748,2.4514
142.5,1.1748,2.4561
142.6,1.1738,2.4594
142.7,1.1744,2.4639
142.8,1.1743,2.4684
142.9,1.1739,2.4719
143,1.1742,2.4768
143.1,1.174,2.4812
143.2,1.1735,2.4847
143.3,1.175,2.4893
143.4,1.1755,2.4952
143.5,1.1749,2.4986
143.6,1.1758,2.5032
143.7,1.1758,2.508
143.8,1.1756,2.5125
143.9,1.176,2.5173
144,1.176,2.5228
144.1,1.1756,2.5278
144.2,1.1752,2.5317
144.3,1.1747,2.5357
144.4,1.1749,2.5399
144.5,1.1756,2.5444
144.6,1.1749,2.5487
144.7,1.1752,2.5531
144.8,1.1754,2.5578
144.9,1.1761,2.5625
145,1.1752,2.5666
145.1,1.1759,2.5711
145.2,1.1768,2.5767
145.3,1.1758,2.5814
145.4,1.1765,2.586
145.5,1.1768,2.5916
145.6,1.1761,2.5962
145.7,1.1767,2.6013
145.8,1.1751,2.6056
145.9,1.1754,2.6092
146,1.1751,2.6128
146.1,1.1758,2.6168
146.2,1.1751,2.6208
146.3,1.1758,2.6255
146.4,1.1769,2.6302
146.5,1.1766,2.6347
146.6,1.1759,2.6386
146.7,1.1759,2.6432
146.8,1.1762,2.6477
146.9,1.1769,2.6519
147,1.1769,2.6568
147.1,1.1769,2.6606
147.2,1.1762,2.6643
147.3,1.1773,2.6696
147.4,1.1759,2.6737
147.5,1.1773,2.6787
147.6,1.1772,2.6834
147.7,1.1771,2.6882
147.8,1.1769,2.6925
147.9,1.1773,2.6975
148,1.1776,2.7024
148.1,1.1774,2.7067
148.2,1.1767,2.711
148.3,1.1768,2.7153
148.4,1.1777,2.7204
148.5,1.1778,2.7252
148.6,1.177,2.7293
148.7,1.1775,2.7336
148.8,1.1771,2.7383
148.9,1.1774,2.7421
